sample_id	sample_desc	strain	genus	species	input_type	files	trim	metadata
10315_6_1			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349747_1.fastq.gz;examples/Kp89/raw/ERR349747_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:susceptible;Ward of isolation:Medical;Specimen:Urine
10315_6_10			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349756_1.fastq.gz;examples/Kp89/raw/ERR349756_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery C;Specimen:Blood
10315_6_11			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349757_1.fastq.gz;examples/Kp89/raw/ERR349757_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:ICU;Specimen:Tracheal aspiration
10315_6_12			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349758_1.fastq.gz;examples/Kp89/raw/ERR349758_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:ICU;Specimen:Blood
10315_6_13			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349759_1.fastq.gz;examples/Kp89/raw/ERR349759_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:ICU;Specimen:Sputum
10315_6_17			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349763_1.fastq.gz;examples/Kp89/raw/ERR349763_2.fastq.gz	Yes	meropenem:resistant;imipenem:intermediate;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:NICU;Specimen:Blood
10315_6_18			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349764_1.fastq.gz;examples/Kp89/raw/ERR349764_2.fastq.gz	Yes	meropenem:resistant;imipenem:intermediate;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery A;Specimen:Blood
10315_6_19			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349765_1.fastq.gz;examples/Kp89/raw/ERR349765_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:NICU;Specimen:Blood
10315_6_2			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349748_1.fastq.gz;examples/Kp89/raw/ERR349748_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Medical;Specimen:ET Tip
10315_6_20			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349766_1.fastq.gz;examples/Kp89/raw/ERR349766_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:ICU;Specimen:Sputum
